place_original	place_reconciled	place_wikidata_id	coordinate location	WKT	GND ID	Freebase ID	GeoNames ID	TGN ID	place_compilation_korbo_uri
Pratteln	Pratteln	Q64679	47.5185,7.69275	POINT(7.69275 47.5185)	4237732-8	/m/060rp8	7286828		http://purl.org/net7/korbo2/item/454
Pula	Pula	Q4656	44.866666666667,13.833333333333	POINT(13.833333333333 44.866666666667)	4103444-2	/m/02lw53	3192224		http://korbo2.org/v1/items/2537
Rapallo	Rapallo	Q210098	44.35,9.2333333333333	POINT(9.2333333333333 44.35)		/m/04dn78	6537063		http://purl.org/net7/korbo2/item/436
Rheinfelden	Rheinfelden	Q269667	47.553888888889,7.7958333333333	POINT(7.7958333333333 47.553888888889)	4049753-7	/m/05l3tk	7286892		http://purl.org/net7/korbo2/item/772
Riesbach	Riesbach	Q677710	47.355,8.561	POINT(8.561 47.355)		/m/03h4z31	6295542		http://purl.org/net7/korbo2/item/217
Rimini	Rimini	Q13369	44.0595,12.5685	POINT(12.5685 44.0595)	4050057-3	/m/0kt0w	6541863		http://purl.org/net7/korbo2/item/382
Roggwil (Thurgau)	Roggwil	Q65577	47.499444444444,9.395	POINT(9.395 47.499444444444)		/m/0g35yv	7286930		http://korbo2.org/v1/items/104930
Röhrsdorf	Klipphausen	Q8726	51.083333333333,13.533333333333	POINT(13.533333333333 51.083333333333)	4580415-1	/m/02vw_tz	2887645		http://purl.org/net7/korbo2/item/427
Rom	Rome	Q220	41.893055555556,12.482777777778	POINT(12.482777777778 41.893055555556)	4050471-2	/m/06c62	3169071	7000874	http://purl.org/net7/korbo2/item/131
Rome	Rome	Q220	41.893055555556,12.482777777778	POINT(12.482777777778 41.893055555556)	4050471-2	/m/06c62	3169071	7000874	http://korbo2.org/v1/items/2517
Rotterdam	Rotterdam	Q34370	51.9225,4.47917	POINT(4.47917 51.9225)	4050739-7	/m/06hdk	2747890	7006792	http://purl.org/net7/korbo2/item/801
Rüdlingen	Rüdlingen	Q66796	47.566666666667,8.5663888888889	POINT(8.5663888888889 47.566666666667)		/m/0fvtwq	2658938		http://purl.org/net7/korbo2/item/355
Rudolstadt	Rudolstadt	Q517107	50.716944444444,11.3275	POINT(11.3275 50.716944444444)	4105066-6	/m/09rc1n	2843355		http://purl.org/net7/korbo2/item/823
Saalfeld/Saale	Saalfeld	Q155984	50.650555555556,11.354166666667	POINT(11.354166666667 50.650555555556)	4051087-6	/m/03l7sz	2842688		http://purl.org/net7/korbo2/item/825
Sankt Gallen	St. Gallen	Q25607	47.423333333333,9.3772222222222	POINT(9.3772222222222 47.423333333333)	4051594-1	/m/0245n9	7287240		http://purl.org/net7/korbo2/item/1696
Sarnen	Sarnen	Q63964	46.896944444444,8.2469444444444	POINT(8.2469444444444 46.896944444444)	4379842-1	/m/01v1m4	7287056		http://purl.org/net7/korbo2/item/104708
Sausheim	Sausheim	Q495474	47.786666666667,7.3730555555556	POINT(7.3730555555556 47.786666666667)	4377731-4	/m/03nphng	2975743		http://korbo2.org/v1/items/104900
Schaffhausen	Schaffhausen	Q9009	47.69653,8.63386	POINT(8.63386 47.69653)	4051993-4	/m/017jqc	7287070		http://purl.org/net7/korbo2/item/309
Schänzli	Schänzli								http://purl.org/net7/korbo2/item/409
Schinznach Bad	Schinznach-Bad	Q65328	47.449722222222,8.1694444444444	POINT(8.1694444444444 47.449722222222)		/m/0fy5zz	7287085		http://purl.org/net7/korbo2/item/362
Schliersee	Schliersee	Q260306	47.733333333333,11.866666666667	POINT(11.866666666667 47.733333333333)	4135437-0	/m/0d2jvc	2838502		http://purl.org/net7/korbo2/item/267
Schönau	Schönau	Q266721	48.483333333333,12.85	POINT(12.85 48.483333333333)	4585171-2	/m/02q7bt9	2837072		http://purl.org/net7/korbo2/item/315
Siena	Siena	Q2751	43.318333333333,11.331388888889	POINT(11.331388888889 43.318333333333)	4054903-3	/m/079yb	6541466	7011179	http://purl.org/net7/korbo2/item/2081
Sils-Maria Oberengadin	Sils im Engadin/Segl	Q64200	46.433055555556,9.7663888888889	POINT(9.7663888888889 46.433055555556)		/m/0b3mf7	2658589		http://purl.org/net7/korbo2/item/463
Sissach	Sissach	Q66554	47.466666666667,7.8166666666667	POINT(7.8166666666667 47.466666666667)		/m/0g81zp	7287180		http://korbo2.org/v1/items/104952
Solothurn	Solothurn	Q68965	47.208055555556,7.5375	POINT(7.5375 47.208055555556)	4055458-2	/m/0d341	7287186		http://purl.org/net7/korbo2/item/258
Spiez	Spiez	Q69484	46.683055555556,7.6663888888889	POINT(7.6663888888889 46.683055555556)	4118755-6	/m/02z3r0	2658536		http://purl.org/net7/korbo2/item/314
St. Gallen	St. Gallen	Q25607	47.423333333333,9.3772222222222	POINT(9.3772222222222 47.423333333333)	4051594-1	/m/0245n9	7287240		http://purl.org/net7/korbo2/item/259
St. Moritz	St. Moritz	Q68986	46.4975,9.8380555555556	POINT(9.8380555555556 46.4975)	4105326-6	/m/01sd_8	7287245		http://purl.org/net7/korbo2/item/435
Staatsarchiv Basel	Staatsarchiv Basel-Stadt	Q2324698	47.558530555556,7.5888388888889	POINT(7.5888388888889 47.558530555556)	2022516-7				http://purl.org/net7/korbo2/item/18
Strasbourg	Strasbourg	Q6602	48.573333333333,7.7522222222222	POINT(7.7522222222222 48.573333333333)	4057878-1	/m/09b83	2973783	7012346	http://korbo2.org/v1/items/2539
Straßburg	Strasbourg	Q6602	48.573333333333,7.7522222222222	POINT(7.7522222222222 48.573333333333)	4057878-1	/m/09b83	2973783	7012346	http://purl.org/net7/korbo2/item/37
Stuttgart	Stuttgart	Q1022	48.776111111111,9.1775	POINT(9.1775 48.776111111111)	4058282-6	/m/0727_	2825297	7004425	http://purl.org/net7/korbo2/item/43
Susa	Susa	Q180773	32.2,48.25	POINT(48.25 32.2)	4118912-7	/m/0gf0n	114593		http://purl.org/net7/korbo2/item/103095
Tegernau	Tegernau	Q692977	47.719722222222,7.7944444444444	POINT(7.7944444444444 47.719722222222)	7835878-4	/m/02p_r9c	2823692		http://purl.org/net7/korbo2/item/316
Thann	Thann	Q207570	47.806666666667,7.1044444444444	POINT(7.1044444444444 47.806666666667)		/m/08shxr	6454567		http://purl.org/net7/korbo2/item/413
Thorn	Toruń	Q47554	53.016666666667,18.616666666667	POINT(18.616666666667 53.016666666667)	4059950-4	/m/07pg7	3083271		http://purl.org/net7/korbo2/item/66
Timmendorferstrand	Timmendorfer Strand	Q541750	53.994444444444,10.7825	POINT(10.7825 53.994444444444)	4060184-5	/m/0cn70l	2822160		http://purl.org/net7/korbo2/item/822
Torino	Turin	Q495	45.066666666667,7.7	POINT(7.7 45.066666666667)	4061245-4	/m/07mgr	3165525	7005688	http://purl.org/net7/korbo2/item/468
Trapani	Trapani	Q13664	38.016666666667,12.516666666667	POINT(12.516666666667 38.016666666667)	4249472-2	/m/0c63w	6542155		http://purl.org/net7/korbo2/item/104845
Tübingen	Tübingen	Q3806	48.52,9.0555555555556	POINT(9.0555555555556 48.52)	4061147-4	/m/07dh1	2820860		http://purl.org/net7/korbo2/item/263
Turin	Turin	Q495	45.066666666667,7.7	POINT(7.7 45.066666666667)	4061245-4	/m/07mgr	3165525	7005688	http://purl.org/net7/korbo2/item/1697
Uster	Uster	Q64032	47.349166666667,8.7191666666667	POINT(8.7191666666667 47.349166666667)	4107491-9	/m/08flgh	7287397		http://korbo2.org/v1/items/104903
