place_original	place_reconciled	place_wikidata_id	coordinate location	WKT	GND ID	Freebase ID	GeoNames ID	TGN ID	place_compilation_korbo_uri
Gotha	Gotha	Q6986	50.948888888889,10.718333333333	POINT(10.718333333333 50.948888888889)	4021652-4	/m/035bpp	2918752		http://purl.org/net7/korbo2/item/47
Göttibach b. Thun	Thun	Q68978	46.759,7.63	POINT(7.63 46.759)	4059991-7	/m/025379	7287306		http://purl.org/net7/korbo2/item/805
Göttingen	Göttingen	Q3033	51.533888888889,9.9355555555556	POINT(9.9355555555556 51.533888888889)	4021477-1	/m/0bj40	2918632		http://purl.org/net7/korbo2/item/442
Haida	Nový Bor	Q1000086	50.757681178047,14.555662165889	POINT(14.555662165889 50.757681178047)	4304888-2	/m/07h8_d	3069381		http://purl.org/net7/korbo2/item/795
Hallau	Hallau	Q69172	47.6966,8.4578	POINT(8.4578 47.6966)		/m/0fvsnx	7286027		http://purl.org/net7/korbo2/item/424
Hamburg	Hamburg	Q1055	53.55,10	POINT(10 53.55)	4023118-5	/m/03hrz	2911297	7003673	http://purl.org/net7/korbo2/item/310
Hannover	Hanover	Q1715	52.374444444444,9.7386111111111	POINT(9.7386111111111 52.374444444444)	4023349-2	/m/03pbf	2910831	7013260	http://purl.org/net7/korbo2/item/443
Heidelberg	Heidelberg	Q2966	49.412222222222,8.71	POINT(8.71 49.412222222222)	4023996-2	/m/0cm5m	2907911		http://purl.org/net7/korbo2/item/448
Helmstedt	Helmstedt	Q486562	52.228055555556,11.010555555556	POINT(11.010555555556 52.228055555556)	4024344-8	/m/033npq	2906676		http://purl.org/net7/korbo2/item/60
Herren-Chiemsee	Herreninsel	Q694888	47.860556,12.398056	POINT(12.398056 47.860556)	4024575-5	/m/0gbg8m	2905641		http://purl.org/net7/korbo2/item/434
Herzogenbuchsee	Herzogenbuchsee	Q67499	47.18838,7.70619	POINT(7.70619 47.18838)		/m/030h5k	7286078		http://purl.org/net7/korbo2/item/305
Hottingen	Hottingen	Q693454	47.3681,8.5604	POINT(8.5604 47.3681)			6295507		http://purl.org/net7/korbo2/item/790
Imola	Imola	Q50195	44.353444388889,11.714373194444	POINT(11.714373194444 44.353444388889)	4235717-2	/m/03pnyr	6541032		http://purl.org/net7/korbo2/item/377
Innsbruck	Innsbruck	Q1735	47.266666666667,11.383333333333	POINT(11.383333333333 47.266666666667)	4027096-8	/m/0fhmy	2775216	7003249	http://purl.org/net7/korbo2/item/20
İstanbul	Istanbul	Q406	41.01,28.960277777778	POINT(28.960277777778 41.01)	4027821-9	/m/09949m	745044	7002473	http://purl.org/net7/korbo2/item/104795
Jena	Jena	Q3150	50.927222222222,11.586388888889	POINT(11.586388888889 50.927222222222)	4028557-1	/m/018_7x	2895042		http://purl.org/net7/korbo2/item/40
Karlsruhe	Karlsruhe	Q1040	49.016666666667,8.4	POINT(8.4 49.016666666667)	4029713-5	/m/0qb1z	2892794	7004424	http://purl.org/net7/korbo2/item/27
Kiel	Kiel	Q1707	54.323333333333,10.139444444444	POINT(10.139444444444 54.323333333333)	4030481-4	/m/0g7pm	2891122		http://purl.org/net7/korbo2/item/257
Kilchberg (Zürich)	Kilchberg	Q66633	47.324722222222,8.5491666666667	POINT(8.5491666666667 47.324722222222)	4097898-9	/m/04ff98	2660161		http://korbo2.org/v1/items/104948
Köln	Cologne	Q365	50.942222222222,6.9577777777778	POINT(6.9577777777778 50.942222222222)	4031483-2	/m/01v8c	2886242	7004446	http://purl.org/net7/korbo2/item/425
Königsberg	Königsberg	Q4120832	54.716666666667,20.516666666667	POINT(20.516666666667 54.716666666667)	4031541-1	/m/03m7lkk	554234		http://purl.org/net7/korbo2/item/253
Krakau	Kraków	Q31487	50.061388888889,19.937222222222	POINT(19.937222222222 50.061388888889)	4073760-3	/m/0491y	6690154	7007652	http://purl.org/net7/korbo2/item/306
Krems an der Donau	Krems an der Donau	Q131266	48.416666666667,15.616666666667	POINT(15.616666666667 48.416666666667)	4033043-6	/m/02hk7f	2773547		http://korbo2.org/v1/items/104770
Kressbronn 	Kressbronn am Bodensee	Q557658	47.595833333333,9.6	POINT(9.6 47.595833333333)	4320686-4	/m/02p_g7v	2884344		http://purl.org/net7/korbo2/item/449
Kreuzburg (Oberschlesien)	Kluczbork	Q79322	50.983333333333,18.216666666667	POINT(18.216666666667 50.983333333333)	4097069-3	/m/0229bc	3096003		http://korbo2.org/v1/items/104755
L'Isle-Adam	L'Isle-Adam	Q911450	49.111111111111,2.2227777777778	POINT(2.2227777777778 49.111111111111)		/m/03c91vk	6614253		http://purl.org/net7/korbo2/item/390
Lago Maggiore	Lake Maggiore	Q14379	45.95,8.6333333333333	POINT(8.6333333333333 45.95)	4034092-2	/m/034mxc	2659792		http://purl.org/net7/korbo2/item/456
Lahr	Lahr/Schwarzwald	Q7039	48.339166666667,7.8722222222222	POINT(7.8722222222222 48.339166666667)	4034109-4	/m/04pnbl	2881885		http://purl.org/net7/korbo2/item/127
Laufenburg	Laufenburg (Baden)	Q539801	47.565555555556,8.0647222222222	POINT(8.0647222222222 47.565555555556)	4269481-4	/m/085qr1	6559168		http://purl.org/net7/korbo2/item/429
Lausanne	Lausanne	Q807	46.533333333333,6.6333333333333	POINT(6.6333333333333 46.533333333333)	4034750-3	/m/04qdj	7286283	7007299	http://purl.org/net7/korbo2/item/437
Leipzig	Leipzig	Q2079	51.333333333333,12.383333333333	POINT(12.383333333333 51.333333333333)	4035206-7	/m/04kf4	2879139	7012329	http://purl.org/net7/korbo2/item/68
Lenzburg	Lenzburg	Q69433	47.3875,8.1802777777778	POINT(8.1802777777778 47.3875)	4035353-9	/m/03x_gg	7286318		http://purl.org/net7/korbo2/item/798
Lesa	Lesa	Q22479	45.833333333333,8.5666666666667	POINT(8.5666666666667 45.833333333333)	4445517-3	/m/0g8t9v	6541847		http://purl.org/net7/korbo2/item/455
Lichtenthal	Lichtental	Q896509	48.7439,8.26083	POINT(8.26083 48.7439)					http://purl.org/net7/korbo2/item/360
Lido	Lido	Q18503363	45.4105,12.36649	POINT(12.36649 45.4105)			3174748		http://purl.org/net7/korbo2/item/410
Liestal	Liestal	Q68972	47.483888888889,7.735	POINT(7.735 47.483888888889)	4099638-4	/m/01h80y	7286349		http://purl.org/net7/korbo2/item/799
Lindau	Lindau	Q153969	47.545833333333,9.6838888888889	POINT(9.6838888888889 47.545833333333)	4074242-8	/m/01jq_7	2877550	1040126	http://purl.org/net7/korbo2/item/450
London	London	Q84	51.507222222222,-0.1275	POINT(-0.1275 51.507222222222)	4074335-4	/m/04jpl	2643743	7011781	http://purl.org/net7/korbo2/item/266
