place_original	place_reconciled	place_wikidata_id	description_de	description	img_url	coordinate location	WKT	GND ID	Freebase ID	GeoNames ID	TGN ID	place_compilation_korbo_uri
Mailand	Milan	Q490	italienische Großstadt, Hauptstadt der Provinz Mailand	second-largest city in Italy	https://upload.wikimedia.org/wikipedia/commons/5/58/Milan.Proper.Wikipedia.Image.png	45.464161,9.190336	POINT(9.190336 45.464161)	4037100-1	/m/0947l	6542283	7005903	http://purl.org/net7/korbo2/item/1699
Malvern	Malvern	Q623323	"<?xml version='1.0' encoding='UTF-8'?>
<sparql xmlns='http://www.w3.org/2005/sparql-results#'>
	<head>
		<variable name='value'/>
	</head>
	<results>
	</results>
</sparql>
"	spa town and civil parish in Worcestershire, England	https://upload.wikimedia.org/wikipedia/commons/d/d4/Great_Malvern_from_the_Hills_-_geograph.org.uk_-_180560.jpg	52.108,-2.325	POINT(-2.325 52.108)	133754-3	/m/020xx0	7290434		http://purl.org/net7/korbo2/item/278
Mannheim	Mannheim	Q2119	Großstadt in Baden-Württemberg, Deutschland	city in Baden-Württemberg, Germany	https://upload.wikimedia.org/wikipedia/commons/2/21/Mannheim_Innenstadt.jpg	49.483611111111,8.4630555555556	POINT(8.4630555555556 49.483611111111)	4037372-1	/m/0pf5y	2873891	7005179	http://purl.org/net7/korbo2/item/767
Mantova	Mantua	Q6247	italienische Gemeinde	Italian comune	https://upload.wikimedia.org/wikipedia/commons/1/1d/Mantova_Skyline.jpg	45.156388888889,10.791111111111	POINT(10.791111111111 45.156388888889)	4114978-6	/m/0d8zt	6541855	7005879	http://purl.org/net7/korbo2/item/376
Marburg	Marburg	Q3869	Universitätsstadt und Kreisstadt im Landkreis Marburg-Biedenkopf in Hessen mit Sonderstatus	seat of Landkreis Marburg-Biedenkopf and city in Hesse, Germany	https://upload.wikimedia.org/wikipedia/commons/8/87/Marburger_Schloss_024.jpg	50.816666666667,8.7666666666667	POINT(8.7666666666667 50.816666666667)	4037446-4	/m/0cy41	2873759		http://purl.org/net7/korbo2/item/255
Mentone	Menton	Q180083	französische Gemeinde	commune in Alpes-Maritimes, France	https://upload.wikimedia.org/wikipedia/commons/d/d7/Menton_vieille_ville.JPG	43.774722222222,7.4997222222222	POINT(7.4997222222222 43.774722222222)	4115099-5	/m/027fgw	6446719		http://purl.org/net7/korbo2/item/414
Meran	Merano	Q131605	italienische Gemeinde	Italian comune	https://upload.wikimedia.org/wikipedia/commons/1/12/Meran_vom_pulverturm_wv_ds_08_2004.jpg	46.668888888889,11.163888888889	POINT(11.163888888889 46.668888888889)	4038688-0	/m/045fm9	6535957		http://purl.org/net7/korbo2/item/361
Milan	Milan	Q490	italienische Großstadt, Hauptstadt der Provinz Mailand	second-largest city in Italy	https://upload.wikimedia.org/wikipedia/commons/5/58/Milan.Proper.Wikipedia.Image.png	45.464161,9.190336	POINT(9.190336 45.464161)	4037100-1	/m/0947l	6542283	7005903	http://korbo2.org/v1/items/2553
Milano	Milan	Q490	italienische Großstadt, Hauptstadt der Provinz Mailand	second-largest city in Italy	https://upload.wikimedia.org/wikipedia/commons/5/58/Milan.Proper.Wikipedia.Image.png	45.464161,9.190336	POINT(9.190336 45.464161)	4037100-1	/m/0947l	6542283	7005903	http://purl.org/net7/korbo2/item/274
Montepulciano	Montepulciano	Q91217	italienische Gemeinde	Italian comune	https://upload.wikimedia.org/wikipedia/commons/d/dd/Montepulciano02.jpg	43.1,11.783333333333	POINT(11.783333333333 43.1)	4115211-6	/m/06ywg0	6541611		http://purl.org/net7/korbo2/item/277
Moscow	Moscow	Q649	Hauptstadt von Russland	capital city and the largest city of Russia; separate federal subject of Russia	https://upload.wikimedia.org/wikipedia/commons/2/24/MSK_Collage_2015.png	55.755833333333,37.617777777778	POINT(37.617777777778 55.755833333333)	4074987-3	/m/04swd	524894	7012974	http://korbo2.org/v1/items/2529
Mülhausen	Mulhouse	Q79815	Mülhausen (französisch Mulhouse, elsässisch Milhüsa) ist eine Stadt in der Region Elsass	commune in Haut-Rhin, France	https://upload.wikimedia.org/wikipedia/commons/2/24/Mulhouse_%2832701038458%29.jpg	47.748611111111,7.3391666666667	POINT(7.3391666666667 47.748611111111)	4040474-2	/m/01_wjj	2991214		http://purl.org/net7/korbo2/item/446
Mulhouse	Mulhouse	Q79815	Mülhausen (französisch Mulhouse, elsässisch Milhüsa) ist eine Stadt in der Region Elsass	commune in Haut-Rhin, France	https://upload.wikimedia.org/wikipedia/commons/2/24/Mulhouse_%2832701038458%29.jpg	47.748611111111,7.3391666666667	POINT(7.3391666666667 47.748611111111)	4040474-2	/m/01_wjj	2991214		http://purl.org/net7/korbo2/item/2544
München	Munich	Q1726	Landeshauptstadt des Freistaates Bayern	city in Bavaria, Germany	https://upload.wikimedia.org/wikipedia/commons/1/14/M%C3%BCnchen_Panorama.JPG	48.137194444444,11.5755	POINT(11.5755 48.137194444444)	4127793-4	/m/02h6_6p	2867714	7004333	http://purl.org/net7/korbo2/item/271
Muri	Muri	Q69011	Gemeinde im Kanton Aargau, Schweiz	municipality in the canton Aargau, Switzerland	https://upload.wikimedia.org/wikipedia/commons/8/8e/Picswiss_AG-23-07.jpg	47.274722222222,8.3416666666667	POINT(8.3416666666667 47.274722222222)	4101789-4	/m/0cwc0j	7286599		http://purl.org/net7/korbo2/item/402
Naumburg a. d. Saale	Naumburg (Saale)	Q15986	Stadt im Burgenlandkreis, Sachsen-Anhalt	town in the district Burgenlandkreis, in the state of Saxony-Anhalt, Germany	https://upload.wikimedia.org/wikipedia/commons/f/f6/KLG_4553_Naumburger_Dom.jpg	51.15,11.816666666667	POINT(11.816666666667 51.15)	4041445-0	/m/04ss38	2866906		http://purl.org/net7/korbo2/item/465
Neapel	Naples	Q2634	italienische Großstadt	city in Campania, Italy	https://upload.wikimedia.org/wikipedia/commons/6/6f/Naples_from_the_Castello_Sant_Elmo_with_Abbazia_San_Martino_the_port_and_the_Vesuv.jpg	40.833333333333,14.25	POINT(14.25 40.833333333333)	4041476-0	/m/0fhsz	3172395	7004474	http://purl.org/net7/korbo2/item/1556
Neumünster	Neumünster	Q3879	kreisfreie Stadt in Schleswig-Holstein, Deutschland	city in Schleswig-Holstein, Germany	https://upload.wikimedia.org/wikipedia/commons/7/79/Neumuensterwappen.jpg	54.071388888889,9.99	POINT(9.99 54.071388888889)	4041845-5	/m/04d32t	2864475		http://purl.org/net7/korbo2/item/218
Neu-Schauenburg	Ruine Neu-Schauenburg	Q2175365	Burg in der Schweiz	ruined castle in the commune of Frenkendorf, Switzerland located near the border of France and Germany.	https://upload.wikimedia.org/wikipedia/commons/1/10/Neu-Schauenburg-Lage-Uebersicht.jpg	47.5006,7.68236	POINT(7.68236 47.5006)	1048371611				http://purl.org/net7/korbo2/item/453
Nizza	Nice	Q33959	französische Großstadt an der Côte d'Azur	city in Alpes-Maritimes, France	https://upload.wikimedia.org/wikipedia/commons/e/e7/Port_Of_Nice%2C_C%C3%B4te_d%27Azur.jpg	43.701944444444,7.2683333333333	POINT(7.2683333333333 43.701944444444)	4075416-9	/m/0cp6w	2990440	7008773	http://purl.org/net7/korbo2/item/466
Nový Bor	Nový Bor	Q1000086	Gemeinde in Tschechien	town in the Liberec Region of the Czech Republic	https://upload.wikimedia.org/wikipedia/commons/9/93/Luftbild_von_Nov%C3%BD_Bor.JPG	50.757681178047,14.555662165889	POINT(14.555662165889 50.757681178047)	4304888-2	/m/07h8_d	3069381		http://purl.org/net7/korbo2/item/103864
Ohio	Wooster	Q989567	Stadt im US-Bundesstaat Ohio	city in Ohio	https://upload.wikimedia.org/wikipedia/commons/1/13/Wooster_downtown2.jpg	40.8092, -81.9372	POINT(-81.9372 40.8092)	4351701-8	/m/0z38m	5129633		http://purl.org/net7/korbo2/item/768
