place_original	place_reconciled	place_wikidata_id	description_de	description	img_url	coordinate location	WKT	GND ID	Freebase ID	GeoNames ID	TGN ID	place_compilation_korbo_uri
St. Moritz	St. Moritz	Q68986	Gemeinde in der Schweiz	resort town in the Engadine valley in Switzerland	https://upload.wikimedia.org/wikipedia/commons/3/31/StMoritz.jpg	46.4975,9.8380555555556	POINT(9.8380555555556 46.4975)	4105326-6	/m/01sd_8	7287245		http://purl.org/net7/korbo2/item/435
Staatsarchiv Basel	Staatsarchiv Basel-Stadt	Q2324698	Kantonsarchiv in Basel (Schweiz)	cantonal archive in Basel (Switzerland)	https://upload.wikimedia.org/wikipedia/commons/8/8c/Basel_Martingsgasse_2.JPG	47.558530555556,7.5888388888889	POINT(7.5888388888889 47.558530555556)	2022516-7				http://purl.org/net7/korbo2/item/18
Strasbourg	Strasbourg	Q6602	Stadt in Frankreich	commune in Bas-Rhin, France	https://upload.wikimedia.org/wikipedia/commons/4/4e/Stra%C3%9Fburg_Ponts_Couverts_03.jpg	48.573333333333,7.7522222222222	POINT(7.7522222222222 48.573333333333)	4057878-1	/m/09b83	2973783	7012346	http://korbo2.org/v1/items/2539
Straßburg	Strasbourg	Q6602	Stadt in Frankreich	commune in Bas-Rhin, France	https://upload.wikimedia.org/wikipedia/commons/4/4e/Stra%C3%9Fburg_Ponts_Couverts_03.jpg	48.573333333333,7.7522222222222	POINT(7.7522222222222 48.573333333333)	4057878-1	/m/09b83	2973783	7012346	http://purl.org/net7/korbo2/item/37
Stuttgart	Stuttgart	Q1022	Landeshauptstadt von Baden-Württemberg, Deutschland	capital city of German federated state Baden-Württemberg	https://upload.wikimedia.org/wikipedia/commons/6/66/Neues_Schloss_Schlossplatzspringbrunnen_Jubil%C3%A4umss%C3%A4ule_Schlossplatz_Stuttgart_2015_01.jpg	48.776111111111,9.1775	POINT(9.1775 48.776111111111)	4058282-6	/m/0727_	2825297	7004425	http://purl.org/net7/korbo2/item/43
Susa	Susa	Q180773	antike Stadt im Südwestiran	ancient city in Iran	https://upload.wikimedia.org/wikipedia/commons/1/16/Susa_house_drawing.jpg	32.2,48.25	POINT(48.25 32.2)	4118912-7	/m/0gf0n	114593		http://purl.org/net7/korbo2/item/103095
Tegernau	Tegernau	Q692977	Ortsteil von Kleines Wiesental, Baden-Württemberg, Deutschland	quarter of Kleines Wiesental, Baden-Württemberg, Germany	https://upload.wikimedia.org/wikipedia/commons/7/7b/Tegernau_-_Gesamtansicht2.jpg	47.719722222222,7.7944444444444	POINT(7.7944444444444 47.719722222222)	7835878-4	/m/02p_r9c	2823692		http://purl.org/net7/korbo2/item/316
Thann	Thann	Q207570	französische Gemeinde	commune in Haut-Rhin, France	https://upload.wikimedia.org/wikipedia/commons/2/2e/Thur_Thann.jpg	47.806666666667,7.1044444444444	POINT(7.1044444444444 47.806666666667)	4224916-8	/m/08shxr	6454567		http://purl.org/net7/korbo2/item/413
Thorn	Toruń	Q47554	polnischer Stadtkreis in der Woiwodschaft Kujawien-Pommern	city in north-central Poland	https://upload.wikimedia.org/wikipedia/commons/7/7a/Collage_of_Torun.png	53.016666666667,18.616666666667	POINT(18.616666666667 53.016666666667)	4059950-4	/m/07pg7	3083271		http://purl.org/net7/korbo2/item/66
Timmendorferstrand	Timmendorfer Strand	Q541750	Gemeinde in Deutschland	municipality of Germany	https://upload.wikimedia.org/wikipedia/commons/d/db/Timmendorfer_Strand_2010_PD_102.JPG	53.994444444444,10.7825	POINT(10.7825 53.994444444444)	4060184-5	/m/0cn70l	2822160		http://purl.org/net7/korbo2/item/822
Torino	Turin	Q495	Großstadt im Piemont, Norditalien	city and commune in Italy	https://upload.wikimedia.org/wikipedia/commons/9/9d/Collage_Torino.jpg	45.066666666667,7.7	POINT(7.7 45.066666666667)	4061245-4	/m/07mgr	3165525	7005688	http://purl.org/net7/korbo2/item/468
Trapani	Trapani	Q13664	italienische Gemeinde	Italian comune	https://upload.wikimedia.org/wikipedia/commons/c/c4/Trapani%2C_Sicily.jpg	38.016666666667,12.516666666667	POINT(12.516666666667 38.016666666667)	4249472-2	/m/0c63w	6542155		http://purl.org/net7/korbo2/item/104845
Tübingen	Tübingen	Q3806	Stadt in Baden-Württemberg, Deutschland	town in central Baden-Württemberg, Germany	https://upload.wikimedia.org/wikipedia/commons/f/fe/T%C3%BCbingen_-_Neckarfront_04.jpg	48.52,9.0555555555556	POINT(9.0555555555556 48.52)	4061147-4	/m/07dh1	2820860		http://purl.org/net7/korbo2/item/263
Turin	Turin	Q495	Großstadt im Piemont, Norditalien	city and commune in Italy	https://upload.wikimedia.org/wikipedia/commons/9/9d/Collage_Torino.jpg	45.066666666667,7.7	POINT(7.7 45.066666666667)	4061245-4	/m/07mgr	3165525	7005688	http://purl.org/net7/korbo2/item/1697
Uster	Uster	Q64032	Stadt im Kanton Zürich, Schweiz	city in the canton of Zürich, Switzerland	https://upload.wikimedia.org/wikipedia/commons/7/7f/Uster_from_Ju-52_HB-HOT.JPG	47.349166666667,8.7191666666667	POINT(8.7191666666667 47.349166666667)	4107491-9	/m/08flgh	7287397		http://korbo2.org/v1/items/104903
Varese	Varese	Q6285	italienische Gemeinde	Italian comune	https://upload.wikimedia.org/wikipedia/commons/3/36/Varese_Palazzo_Estense.jpg	45.816666666667,8.8333333333333	POINT(8.8333333333333 45.816666666667)	4119370-2	/m/0ggt2	6542112		http://purl.org/net7/korbo2/item/383
Venedig	Venice	Q641	Stadt im Nordosten Italiens	city in northeastern Italy, sited on a group of 118 small islands	https://upload.wikimedia.org/wikipedia/commons/f/f8/Venice_Old_Town_Lagoon_Aerial_View.jpg	45.439722222222,12.331944444444	POINT(12.331944444444 45.439722222222)	4062501-1	/m/07_pf	6542284	7018159	http://purl.org/net7/korbo2/item/269
Venice	Venice	Q641	Stadt im Nordosten Italiens	city in northeastern Italy, sited on a group of 118 small islands	https://upload.wikimedia.org/wikipedia/commons/f/f8/Venice_Old_Town_Lagoon_Aerial_View.jpg	45.439722222222,12.331944444444	POINT(12.331944444444 45.439722222222)	4062501-1	/m/07_pf	6542284	7018159	http://korbo2.org/v1/items/2316
Verona	Verona	Q2028	italienische Großstadt	city in Veneto, northern Italy	https://upload.wikimedia.org/wikipedia/commons/8/8f/Collage_Verona.jpg	45.438158333333,10.993741666667	POINT(10.993741666667 45.438158333333)	4063110-2	/m/01n43d	6541865	7003262	http://purl.org/net7/korbo2/item/792
Vitznau	Vitznau	Q14578	Gemeinde im Kanton Luzern, Schweiz	municipality in the canton of Lucerne, Switzerland	https://upload.wikimedia.org/wikipedia/commons/5/57/Prise_de_vue_de_Vitznau_01_-_B%C3%BCrgenstock.jpg	47.009166666667,8.4833333333333	POINT(8.4833333333333 47.009166666667)	4108319-2	/m/03rv9t	7287489		http://purl.org/net7/korbo2/item/447
Washington, DC	Washington, D.C.	Q61	Hauptstadt der Vereinigten Staaten von Amerika	capital city of the United States	https://upload.wikimedia.org/wikipedia/commons/c/cc/Washington_Monument%2C_Washington%2C_D.C._04037u_original.jpg	38.895,-77.036666666667	POINT(-77.036666666667 38.895)	4064682-8	/m/0rh6k	4140963	7013962	http://korbo2.org/v1/items/104926
Weggis	Weggis	Q14580	Gemeinde im Kanton Luzern, Schweiz	municipality in the canton of Lucerne, Switzerland	https://upload.wikimedia.org/wikipedia/commons/1/10/Weggis2002.jpg	47.032222222222,8.4383333333333	POINT(8.4383333333333 47.032222222222)	4064967-2	/m/0d8rdf	7287553		http://purl.org/net7/korbo2/item/407
Weimar	Weimar	Q3955	kreisfreie Stadt in Thüringen, Deutschland	city in Thuringia, Germany	https://upload.wikimedia.org/wikipedia/commons/1/19/Stadtansicht_Weimar_mit_Schloss_und_Herderkirche.jpg	50.983333333333,11.316666666667	POINT(11.316666666667 50.983333333333)	4065105-8	/m/0cpyv	2812479		http://purl.org/net7/korbo2/item/451
Weissbad	Weissbad	Q1443392	Siedlung in der Schweiz	settlement in Appenzell-Innerhoden		47.310277777778,9.4352777777778	POINT(9.4352777777778 47.310277777778)	4496214-9		2658034		http://purl.org/net7/korbo2/item/770
Wenken	Villa Wenkenhof	Q1650264	"<?xml version='1.0' encoding='UTF-8'?>
<sparql xmlns='http://www.w3.org/2005/sparql-results#'>
	<head>
		<variable name='value'/>
	</head>
	<results>
	</results>
</sparql>
"	"<?xml version='1.0' encoding='UTF-8'?>
<sparql xmlns='http://www.w3.org/2005/sparql-results#'>
	<head>
		<variable name='value'/>
	</head>
	<results>
	</results>
</sparql>
"	https://upload.wikimedia.org/wikipedia/commons/a/a2/Riehen_neuer_Wenken_Ansicht_Gartenseite.jpg	47.575,7.6527777777778	POINT(7.6527777777778 47.575)					http://purl.org/net7/korbo2/item/276
Wien	Vienna	Q1741	Hauptstadt und Bundesland von Österreich	capital and one of nine States of Austria	https://upload.wikimedia.org/wikipedia/commons/6/6a/Bernardo_Bellotto%2C_il_Canaletto_-_View_of_Vienna_from_the_Belvedere.jpg	48.20833,16.373064	POINT(16.373064 48.20833)	4066009-6	/m/0fhp9	2761333	7003321	http://purl.org/net7/korbo2/item/262
Wiesbaden	Wiesbaden	Q1721	Landeshauptstadt von Hessen, Deutschland	capital of the German state of Hesse	https://upload.wikimedia.org/wikipedia/commons/2/21/Wiesbaden_Castle.jpg	50.0825,8.24	POINT(8.24 50.0825)	4066043-6	/m/0bp_7	3208839		http://purl.org/net7/korbo2/item/354
Wildegg	Möriken-Wildegg	Q65227	Gemeinde in der Schweiz	municipality in Switzerland	https://upload.wikimedia.org/wikipedia/commons/4/42/Moeriken-Wildegg.jpg	47.416388888889,8.1830555555556	POINT(8.1830555555556 47.416388888889)	4290150-9	/m/0fzk16	2659583		http://purl.org/net7/korbo2/item/215
Wilhelmsdorf (Landkreis Ravensburg)	Wilhelmsdorf	Q557779	Gemeinde in Deutschland, Baden-Württemberg	municipality in Baden-Württemberg, Germany	https://upload.wikimedia.org/wikipedia/commons/2/2f/Wilhelmsdorf_W%C3%BCrttemberg_Blick_zum_Saalplatz_Betsaal_2005.jpg	47.865,9.4275	POINT(9.4275 47.865)	4108870-0	/m/02p_wbp	6556075		http://korbo2.org/v1/items/104816
Wilsdruff	Wilsdruff	Q8248	Stadt im Landkreis Sächsische Schweiz-Osterzgebirge, Sachsen, Deutschland	town in the Sächsische Schweiz-Osterzgebirge, in the Free State of Saxony, Germany	https://upload.wikimedia.org/wikipedia/commons/2/25/Wilsdruff_from_above01.jpg	51.052222222222,13.538333333333	POINT(13.538333333333 51.052222222222)	4317099-7	/m/05__s9	2808436	1037999	http://purl.org/net7/korbo2/item/428
Winterthur	Winterthur	Q9125	Stadt im Kanton Zürich, Schweiz	city in the canton of Zürich, Switzerland	https://upload.wikimedia.org/wikipedia/commons/c/c1/Winterthur_Stadthaus.jpg	47.4992,8.72671	POINT(8.72671 47.4992)	4066337-1	/m/02h_9x	7287592	7007301	http://purl.org/net7/korbo2/item/260
Wooster	Wooster	Q989567	Stadt im US-Bundesstaat Ohio	city in Ohio	https://upload.wikimedia.org/wikipedia/commons/1/13/Wooster_downtown2.jpg	40.8092,-81.9372	POINT(-81.9372 40.8092)	4351701-8	/m/0z38m	5177358		http://purl.org/net7/korbo2/item/769
Wuerzburg	Würzburg	Q2999	Großstadt am Main in Bayern, Deutschland	city in the region of Franconia, Northern Bavaria, Germany	https://upload.wikimedia.org/wikipedia/commons/c/c9/Dom_R1.jpg	49.794444444444,9.9294444444444	POINT(9.9294444444444 49.794444444444)	4067037-5	/m/01pqfc	2805615	7004335	http://purl.org/net7/korbo2/item/771
Zürich	Zürich	Q72	Hauptstadt des Kantons Zürich, Schweiz	capital of the canton of Zürich, Switzerland	https://upload.wikimedia.org/wikipedia/commons/3/3c/Zuerich_Fraumuenster_St_Peter.jpg	47.378611111111,8.54	POINT(8.54 47.378611111111)	4068038-1	/m/08966	7287650	7007302	http://purl.org/net7/korbo2/item/54
Zweibrücken	Zweibrücken	Q16017	kreisfreie Stadt in Rheinland-Pfalz, Deutschland	town in Rhineland-Palatinate, Germany	https://upload.wikimedia.org/wikipedia/commons/0/01/Zweibr%C3%BCcken_castle_front_April_2010_darker.jpg	49.249444444444,7.3608333333333	POINT(7.3608333333333 49.249444444444)	4068199-3	/m/0f_s1	2803620		http://purl.org/net7/korbo2/item/104886
